TimeStamp(ms),Temperature(*C),Pressure(Pa),Altitude(m),AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),OriPitch,OriRoll,OriHeading,Latitude,Longitude,Altitude(m),Speed(m/s),Voltage(V)
1001,24.51,101226.8125,-4375.3345,0,0,0,-0.1818,11.6364,49.3878,0.0411,0.2899,0.0244,0,-90,-166.7422,0,0,0,0,4.1314
2002,24.57,101231.4531,-4375.7593,0.1961,2.5105,9.2575,1.2727,12.3636,50.7143,-1.066,-1.3324,-0.1454,15.1729,-1.1714,81.2804,0,0,0,0,4.1508
3003,24.58,101228.2109,-4375.4624,-0.5099,0.0392,9.689,-0.6364,9.6364,52.0408,-1.83,-2.6023,1.4511,0.232,3.0128,-77.4298,0,0,0,0,4.1314
4004,24.58,101226.3828,-4375.2954,-0.7845,0.1177,10.042,-10.7273,-11.1818,48.3673,-3.1556,4.4059,-1.6402,0.6714,4.4669,120.5658,0,0,0,0,4.1314
5005,24.59,101227.75,-4375.4204,-0.5492,-0.1961,9.8459,-9.5455,-4.2727,49.0816,-3.9784,3.1379,-4.1864,-1.1412,3.1918,154.1304,0,0,0,0,4.1508
6006,24.6,101222.3281,-4374.9238,-0.863,0.1569,9.9636,-9.2727,0.1818,48.4694,-4.8596,2.4702,3.3243,0.9022,4.9497,173.4408,0,0,0,0,4.1443
7007,24.61,101226.3438,-4375.3823,-0.6669,0.4707,9.8851,-8.4545,1,48.8776,4.7909,1.2498,4.1505,2.7263,3.855,165.5609,0,0,0,0,4.1443
8008,24.61,101228,-4375.4429,-1.0199,0,9.689,-8.0909,1.6364,48.6735,4.5534,0.7034,3.8536,0,6.009,-150.9918,0,0,0,0,4.1508
9009,24.61,101228.8281,-4375.5186,-0.5492,-0.1569,9.7674,-7.8182,1.1818,48.9796,3.928,-0.482,2.3923,-0.9203,3.2176,-158.7363,0,0,0,0,4.1443
10010,24.61,101227.1719,-4375.3677,-1.2553,-1.2553,8.4337,-7.4545,0.6364,48.2653,3.2093,-1.7484,2.907,-8.4656,8.3747,-93.2237,0,0,0,0,4.1443
11011,24.61,101228.0156,-4375.4443,-1.6867,0.863,11.6503,-7.7273,2.0909,48.0612,2.1805,-2.7327,2.7115,4.2364,8.2159,117.9234,0,0,0,0,4.1443
12012,24.61,101229.8281,-4375.6104,-0.9022,0.1177,10.042,-7.3636,1.3636,48.2653,1.8764,-3.2645,2.8184,0.6714,5.1335,-165.1724,0,0,0,0,4.1443
13013,24.61,101230.8203,-4375.7017,-1.2945,0.0392,9.8851,-8.0909,0.9091,48.6735,1.009,-4.0685,4.0711,0.2274,7.4605,-157.1874,0,0,0,0,4.1572
14014,24.61,101228.0156,-4375.4443,-0.8238,0.4315,10.3558,-7.7273,-0.5455,48.2653,0.9384,-4.6348,4.1632,2.3859,4.5441,146.6706,0,0,0,0,4.1314
15015,24.62,101227.0781,-4375.3584,-0.7845,0.0392,9.8459,-8.9091,1.9091,47.551,-0.5789,3.8416,-3.0403,0.2283,4.5557,-161.3785,0,0,0,0,4.1572
16016,24.61,101228.8281,-4375.5186,-0.7453,0.1569,10.0028,-8.4545,3.1818,48.0612,-1.462,2.6281,4.5041,0.8987,4.2607,-153.4443,0,0,0,0,4.1443
17017,24.61,101229.5078,-4375.5811,-0.5099,0.2746,10.3558,-6.5455,3.3636,48.0612,-1.876,1.9233,3.2947,1.5189,2.8181,-153.4016,0,0,0,0,4.1443
18018,24.61,101226.8438,-4375.3374,-0.9414,0.1569,10.1205,-7,3.7273,48.9796,-2.5951,1.268,-4.4288,0.8882,5.3139,-129.301,0,0,0,0,4.1379
19019,24.6,101228.125,-4375.4546,-0.9807,0.1961,9.9636,-8.4545,4.2727,47.9592,-3.4847,-0.1697,4.6142,1.1277,5.6202,-138.1051,0,0,0,0,4.1379
20020,24.61,101228.9922,-4375.5342,-0.7845,0.2354,10.0028,-8,4.6364,48.9796,-4.0224,-1.2147,-3.0768,1.3479,4.4834,-139.9219,0,0,0,0,4.1443
21021,24.61,101229.1563,-4375.5488,-0.863,0.3138,10.1205,-8.2727,4.9091,47.7551,-4.5844,-2.1254,4.7255,1.776,4.8716,-140.6316,0,0,0,0,4.1508
22022,24.61,101228.6641,-4375.5039,-0.8238,0.1569,9.9243,-7.2727,7,48.6735,4.7906,-3.1991,-4.3089,0.9058,4.7443,-117.2857,0,0,0,0,4.1443
